2026-06-17 15:36:05 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#25 (motorcycle) frame#117
2026-06-17 15:36:07 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#27 (person) frame#157
2026-06-17 15:36:07 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#27 (person) frame#176
2026-06-17 15:36:07 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#28 (car) frame#176
2026-06-17 15:36:07 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#29 (person) frame#176
2026-06-17 15:36:12 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#24 (person) frame#308
2026-06-17 15:36:12 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#24 (person) frame#308
2026-06-17 15:36:12 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#26 (car) frame#321
2026-06-17 15:36:15 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#31 (bus) frame#405
2026-06-17 15:36:16 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#32 (car) frame#430
2026-06-17 15:36:17 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#32 (car) frame#448
2026-06-17 15:36:17 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#33 (motorcycle) frame#448
2026-06-17 15:36:17 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#33 (motorcycle) frame#454
2026-06-17 15:36:19 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#34 (person) frame#510
2026-06-17 15:36:20 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#34 (person) frame#545
2026-06-17 15:36:21 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#36 (motorcycle) frame#571
2026-06-17 15:36:21 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#36 (motorcycle) frame#571
2026-06-17 15:36:22 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#41 (person) frame#598
2026-06-17 15:36:23 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#44 (car) frame#617
2026-06-17 15:36:23 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#39 (motorcycle) frame#623
2026-06-17 15:36:23 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#45 (car) frame#629
2026-06-17 15:36:23 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#41 (person) frame#642
2026-06-17 15:36:24 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#47 (car) frame#655
2026-06-17 15:36:37 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#48 (person) frame#1
2026-06-17 15:36:37 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#49 (motorcycle) frame#1
2026-06-17 15:36:37 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#50 (motorcycle) frame#1
2026-06-17 15:36:37 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#49 (motorcycle) frame#6
2026-06-17 15:36:37 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#48 (person) frame#14
2026-06-17 15:36:38 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#50 (motorcycle) frame#34
2026-06-17 15:36:38 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#51 (car) frame#48
2026-06-17 15:36:43 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#54 (car) frame#169
